"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"7974.4000000003725","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","71","html-keyboard-response","0","7994","0.0-0.0","","","","","","","","",""
"7441","","","survey-text","1","15441","0.0-1.0","{""aws"":""A26UIS59SY4NM6""}","","","","","","","",""
"10082.400000000373","","","survey-text","2","25529","0.0-2.0","{""age"":""50"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"60395.09999999963","","","instructions","3","85928","0.0-3.0","","[{""page_index"":0,""viewing_time"":2317.7999999988824},{""page_index"":1,""viewing_time"":14159.300000000745},{""page_index"":2,""viewing_time"":7775.4000000003725},{""page_index"":3,""viewing_time"":30766.400000000373},{""page_index"":4,""viewing_time"":5375.699999999255}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","86931","0.0-4.0","","","","","","","","",""
"1132.7000000011176","arrows.png","38","image-keyboard-response","5","88366","0.0-5.0","","","","","","","","",""
"20648.699999999255","","","instructions","6","109015","0.0-6.0","","[{""page_index"":0,""viewing_time"":2128.9000000003725},{""page_index"":1,""viewing_time"":13551.699999999255},{""page_index"":2,""viewing_time"":4967.800000000745}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","110019","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","111321","0.0-8.0","","","","","","","","",""
"432.19999999925494","arrows.png","38","image-keyboard-response","9","112055","0.0-9.0","","","","","","","","",""
"10336.799999998882","","","instructions","10","122392","0.0-10.0","","[{""page_index"":0,""viewing_time"":2568.699999999255},{""page_index"":1,""viewing_time"":7767.800000000745}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","123393","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","124695","0.0-12.0","","","","","","","","",""
"489.90000000037253","arrows.png","39","image-keyboard-response","13","125486","0.0-13.0","","","","","","","","",""
"38055.5","","","instructions","14","163542","0.0-14.0","","[{""page_index"":0,""viewing_time"":2312.699999999255},{""page_index"":1,""viewing_time"":9319.699999999255},{""page_index"":2,""viewing_time"":8904.10000000149},{""page_index"":3,""viewing_time"":6135.0999999996275},{""page_index"":4,""viewing_time"":11383.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","164544","0.0-15.0","","","","","","","","",""
"6013.300000000745","arrows.png","39","image-keyboard-response","16","170863","0.0-16.0","","","","","","","","",""
"21776.5","","","instructions","17","192640","0.0-17.0","","[{""page_index"":0,""viewing_time"":3161.300000000745},{""page_index"":1,""viewing_time"":9031.39999999851},{""page_index"":2,""viewing_time"":9583.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","193641","0.0-18.0","","","","","","","","",""
"2654.5","arrows.png","39","image-keyboard-response","19","196597","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","197598","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","198900","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","200202","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","201504","0.0-23.0","","","","","","","","",""
"1360.1000000014901","arrows.png","39","image-keyboard-response","24","203166","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","204167","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","205469","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","206771","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","208073","0.0-28.0","","","","","","","","",""
"1422","arrows.png","38","image-keyboard-response","29","209796","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","210798","0.0-30.0","","","","","","","","",""
"82958.5","","","instructions","31","294063","0.0-31.0","","[{""page_index"":0,""viewing_time"":18025.300000000745},{""page_index"":1,""viewing_time"":1568.0999999996275},{""page_index"":2,""viewing_time"":19327.099999999627},{""page_index"":3,""viewing_time"":17663},{""page_index"":4,""viewing_time"":5815.700000001118},{""page_index"":5,""viewing_time"":4591.799999998882},{""page_index"":6,""viewing_time"":14175.300000000745},{""page_index"":7,""viewing_time"":1791.7999999988824}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","294365","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","294368","0.0-32.0-1.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","294669","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","35","295670","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","295971","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","296973","0.0-32.0-5.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","297274","0.0-32.0-6.0","","","fixation_4","","","","","",""
"585.8999999985099","arrows.png","38","image-keyboard-response","39","297860","0.0-32.0-7.0","","","test","leftarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","299112","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","300164","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","300169","0.0-32.0-1.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","300470","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","44","301472","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","301774","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","302776","0.0-32.0-5.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","303077","0.0-32.0-6.1","","","fixation_4","","","","","",""
"615.1999999992549","arrows.png","38","image-keyboard-response","48","303693","0.0-32.0-7.1","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","304945","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","306247","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","306253","0.0-32.0-1.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","306554","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","53","307555","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","307856","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","308858","0.0-32.0-5.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","309159","0.0-32.0-6.2","","","fixation_4","","","","","",""
"515.9000000003725","arrows.png","37","image-keyboard-response","57","309676","0.0-32.0-7.2","","","test","uparrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","310928","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","311730","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","311735","0.0-32.0-1.3","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","312036","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","62","313037","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","313338","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","314339","0.0-32.0-5.3","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","314641","0.0-32.0-6.3","","","fixation_4","","","","","",""
"362.5","arrows.png","40","image-keyboard-response","66","315005","0.0-32.0-7.3","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","67","316257","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","317559","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","317565","0.0-32.0-1.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","317868","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","71","318869","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","319170","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","319175","0.0-32.0-5.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","319476","0.0-32.0-6.4","","","fixation_4","","","","","",""
"982.2999999988824","arrows.png","40","image-keyboard-response","75","320459","0.0-32.0-7.4","","","test","uparrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","321711","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","323013","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","323018","0.0-32.0-1.5","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","323319","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","80","324320","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","324621","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","324626","0.0-32.0-5.5","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","83","324927","0.0-32.0-6.5","","","fixation_4","","","","","",""
"420.09999999962747","arrows.png","40","image-keyboard-response","84","325348","0.0-32.0-7.5","","","test","leftarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","85","326600","0.0-32.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","86","327152","0.0-32.0-0.6","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","87","327157","0.0-32.0-1.6","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","88","327458","0.0-32.0-2.6","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","89","328459","0.0-32.0-3.6","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","90","328760","0.0-32.0-4.6","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","91","328765","0.0-32.0-5.6","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","92","329066","0.0-32.0-6.6","","","fixation_4","","","","","",""
"1689.5999999996275","arrows.png","39","image-keyboard-response","93","330757","0.0-32.0-7.6","","","test","rightarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","94","332009","0.0-32.0-8.6","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","95","332561","0.0-32.0-0.7","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","96","332567","0.0-32.0-1.7","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","97","332868","0.0-32.0-2.7","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","98","333870","0.0-32.0-3.7","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","99","334171","0.0-32.0-4.7","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","100","334176","0.0-32.0-5.7","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","101","334477","0.0-32.0-6.7","","","fixation_4","","","","","",""
"684.5","arrows.png","39","image-keyboard-response","102","335163","0.0-32.0-7.7","","","test","downarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","103","336414","0.0-32.0-8.7","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","104","337716","0.0-32.0-0.8","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","105","337721","0.0-32.0-1.8","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","106","338022","0.0-32.0-2.8","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","107","339024","0.0-32.0-3.8","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","108","339325","0.0-32.0-4.8","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","109","339330","0.0-32.0-5.8","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","110","339631","0.0-32.0-6.8","","","fixation_4","","","","","",""
"834.4000000003725","arrows.png","37","image-keyboard-response","111","340466","0.0-32.0-7.8","","","test","leftarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","112","341718","0.0-32.0-8.8","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","113","343270","0.0-32.0-0.9","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","114","343276","0.0-32.0-1.9","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","115","343577","0.0-32.0-2.9","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","116","344578","0.0-32.0-3.9","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","117","344879","0.0-32.0-4.9","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","118","344885","0.0-32.0-5.9","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","119","345186","0.0-32.0-6.9","","","fixation_4","","","","","",""
"1462.6000000014901","arrows.png","40","image-keyboard-response","120","346650","0.0-32.0-7.9","","","test","rightarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","121","347902","0.0-32.0-8.9","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","122","348704","0.0-32.0-0.10","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","123","348710","0.0-32.0-1.10","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","124","349011","0.0-32.0-2.10","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","125","350012","0.0-32.0-3.10","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","126","350313","0.0-32.0-4.10","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","127","350318","0.0-32.0-5.10","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","128","350619","0.0-32.0-6.10","","","fixation_4","","","","","",""
"989.9000000003725","arrows.png","37","image-keyboard-response","129","351610","0.0-32.0-7.10","","","test","downarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","130","352866","0.0-32.0-8.10","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","131","354168","0.0-32.0-0.11","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","132","354173","0.0-32.0-1.11","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","133","354474","0.0-32.0-2.11","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","134","355475","0.0-32.0-3.11","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","135","355776","0.0-32.0-4.11","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","136","355781","0.0-32.0-5.11","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","137","356082","0.0-32.0-6.11","","","fixation_4","","","","","",""
"921.8000000007451","arrows.png","37","image-keyboard-response","138","357005","0.0-32.0-7.11","","","test","uparrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","139","358256","0.0-32.0-8.11","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","140","358808","0.0-32.0-0.12","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","141","358814","0.0-32.0-1.12","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","142","359115","0.0-32.0-2.12","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","143","360116","0.0-32.0-3.12","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","144","360417","0.0-32.0-4.12","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","145","360422","0.0-32.0-5.12","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","146","360741","0.0-32.0-6.12","","","fixation_4","","","","","",""
"1495.699999999255","arrows.png","39","image-keyboard-response","147","362237","0.0-32.0-7.12","","","test","rightarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","148","363489","0.0-32.0-8.12","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","149","364791","0.0-32.0-0.13","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","150","364796","0.0-32.0-1.13","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","151","365097","0.0-32.0-2.13","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","152","366098","0.0-32.0-3.13","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","153","366399","0.0-32.0-4.13","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","154","366404","0.0-32.0-5.13","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","155","366705","0.0-32.0-6.13","","","fixation_4","","","","","",""
"1394.2999999988824","arrows.png","40","image-keyboard-response","156","368101","0.0-32.0-7.13","","","test","downarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","157","369353","0.0-32.0-8.13","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","158","369905","0.0-32.0-0.14","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","159","369910","0.0-32.0-1.14","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","160","370211","0.0-32.0-2.14","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","161","371212","0.0-32.0-3.14","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","162","371513","0.0-32.0-4.14","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","163","371518","0.0-32.0-5.14","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","164","371819","0.0-32.0-6.14","","","fixation_4","","","","","",""
"1088.0999999996275","arrows.png","39","image-keyboard-response","165","372908","0.0-32.0-7.14","","","test","leftarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","166","374160","0.0-32.0-8.14","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","167","374962","0.0-32.0-0.15","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","168","374968","0.0-32.0-1.15","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","169","375269","0.0-32.0-2.15","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","170","376270","0.0-32.0-3.15","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","171","376571","0.0-32.0-4.15","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","172","376576","0.0-32.0-5.15","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","173","376877","0.0-32.0-6.15","","","fixation_4","","","","","",""
"1069.5999999996275","arrows.png","39","image-keyboard-response","174","377948","0.0-32.0-7.15","","","test","uparrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","175","379199","0.0-32.0-8.15","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","176","380001","0.0-32.0-0.16","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","177","380006","0.0-32.0-1.16","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","178","380307","0.0-32.0-2.16","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","179","381308","0.0-32.0-3.16","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","180","381609","0.0-32.0-4.16","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","181","381614","0.0-32.0-5.16","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","182","381915","0.0-32.0-6.16","","","fixation_4","","","","","",""
"551.0999999996275","arrows.png","40","image-keyboard-response","183","382467","0.0-32.0-7.16","","","test","uparrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","184","383719","0.0-32.0-8.16","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","185","384271","0.0-32.0-0.17","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","186","384276","0.0-32.0-1.17","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","187","384577","0.0-32.0-2.17","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","188","385578","0.0-32.0-3.17","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","189","385879","0.0-32.0-4.17","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","190","385884","0.0-32.0-5.17","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","191","386185","0.0-32.0-6.17","","","fixation_4","","","","","",""
"497.40000000037253","arrows.png","39","image-keyboard-response","192","386684","0.0-32.0-7.17","","","test","leftarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","193","387935","0.0-32.0-8.17","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","194","388487","0.0-32.0-0.18","","","fixation_1","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","195","389489","0.0-32.0-1.18","","","test","rightarrow","0","1","TRUE","TRUE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","196","389790","0.0-32.0-2.18","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","197","390791","0.0-32.0-3.18","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","198","391092","0.0-32.0-4.18","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","199","392093","0.0-32.0-5.18","","","test","rightarrow","0","1","TRUE","TRUE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","200","392394","0.0-32.0-6.18","","","fixation_4","","","","","",""
"399.7000000011176","arrows.png","39","image-keyboard-response","201","392795","0.0-32.0-7.18","","","test","rightarrow","0","1","TRUE","TRUE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","202","394047","0.0-32.0-8.18","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","203","394599","0.0-32.0-0.19","","","fixation_1","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","204","395601","0.0-32.0-1.19","","","test","downarrow","1","1","TRUE","TRUE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","205","395902","0.0-32.0-2.19","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","206","396903","0.0-32.0-3.19","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","207","397204","0.0-32.0-4.19","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","208","398206","0.0-32.0-5.19","","","test","downarrow","1","1","TRUE","TRUE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","209","398507","0.0-32.0-6.19","","","fixation_4","","","","","",""
"1095.4000000003725","arrows.png","40","image-keyboard-response","210","399604","0.0-32.0-7.19","","","test","downarrow","1","1","TRUE","TRUE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","211","400855","0.0-32.0-8.19","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","212","402158","0.0-32.0-0.20","","","fixation_1","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","213","403160","0.0-32.0-1.20","","","test","downarrow","0","2","TRUE","TRUE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","214","403461","0.0-32.0-2.20","","","fixation_2","","","","","",""
